question,answer
"hi,hello,sir,vanakkam,how are you","Hello! Naan unga Maths teacher. Innaiku 10th standard-la entha chapter pakkanum? Algebra-va illana Geometry-ah?"
"relations and functions,ordered pairs,domain,range","Relations na rendu sets-ku naduvula irukura connectivity. Ordered pairs-ah (x, y) nu ezhuthuvom. Inga x domain, y range."
"composition of functions,fog,gof","Composition of functions-la f of g of x kandupudikka, mudhala g(x) value-ah f(x) function-la substitute pannanum."
"arithmetic progression,ap formula,nth term,common difference","AP-la nth term kandupudikka formula: a_n = a + (n-1)d. Inga 'a' na first term, 'd' na common difference."
"geometric progression,gp formula,common ratio","GP-la common ratio 'r' mukkiyam. nth term formula: a_n = a * r power (n-1). Itha careful-ah multiply pannunga."
"sum of series,sum of ap,sum of gp","Sum of n terms in AP formula: S_n = n/2 * [2a + (n-1)d]. GP-ku r value-ah poruthu formula maarum."
"euclids division lemma,algorithm","Euclid's lemma padi, a = bq + r. Inga r eppovum zero-vida perusa, b-vida chinna-tha irukanum."
"algebra,quadratic equation,formula method,roots","Quadratic equation ax^2 + bx + c = 0 solve panna formula: x = [-b plus or minus sqrt(b^2 - 4ac)] / 2a. Step-by-step-ah follow pannunga."
"nature of roots,discriminant,delta","Discriminant delta = b^2 - 4ac. Ithu zero-va iruntha roots Real and Equal. Zero-vida kammiya iruntha No Real Roots."
"geometry,thales theorem,basic proportionality theorem,bpt","BPT theorem padi, oru triangle-la oru side-ku parallel-ah line varaintha, adhu matha rendu sides-ah same ratio-la divide pannum."
"pythagoras theorem,hypotenuse formula","Pythagoras theorem padi, Square of the hypotenuse is equal to the sum of squares of other two sides. Formula: a^2 + b^2 = c^2."
"trigonometry,identities,sin square theta,cos square theta","Trigonometry-la basic identity: sin^2(theta) + cos^2(theta) = 1. Itha vachi matha identities-ah easy-ah derive pannalam."
"heights and distances,angle of elevation,angle of depression","Neenga keela irunthu mela paatha athu angle of elevation. Mela irunthu keela paatha athu angle of depression."
"mensuration,cylinder volume,curved surface area,csa","Cylinder-oda CSA formula 2 * pi * r * h. Total Surface Area (TSA) venum na 2 * pi * r * (h+r) use pannunga."
"cone volume,sphere volume,hemisphere","Cone volume formula 1/3 * pi * r^2 * h. Sphere volume formula 4/3 * pi * r^3. Units-ah square or cubic-nu correct-ah podunga."
"coordinate geometry,slope formula,straight line,midpoint","Rendu points kudutha slope m = (y2 - y1) / (x2 - x1). Midpoint-ku (x1+x2)/2 , (y1+y2)/2 formula use pannunga."
"statistics,standard deviation,mean,variance","Standard deviation na data evlo spread aagi irukkunu sollarathu. Sigma thaan ithoda symbol. Variance na square of standard deviation."
"probability,cards,dice,coin toss","Dice uruttuna 6 possibilities. Cards total 52, athula black and red cards 26-26 ah irukkum. Probability eppovum 0 to 1 kulla thaan irukanum."
"thank you,purinjithu,ok sir,super","Romba santhosham! Doubt keka eppovum thayangatheenga. Nalla practice pannunga, Maths-la Centum edukalam."
pythagoras theorem,"""Pythagoras theorem padi, square of the hypotenuse is equal to the sum of squares of other two sides. Formula a2+b2=c2. Ithai note panniko student."""
algebra,"""Algebra romba simple. Neenga constant and variables-ah correct-ah handle panna pothum. Innaiku Quadratic equation pakkalama?"""
